[12:02:58] prepare OK id=conv_1760702578_1223023932984869486 meta_latency=0.112s
[12:02:58] waiting for downloaded state before queuing convert...
t=+1.135s status=created dl=0% cv=0% qpos=0
t=+2.154s status=created dl=0% cv=0% qpos=0
t=+3.171s status=created dl=0% cv=0% qpos=0
t=+4.188s status=created dl=0% cv=0% qpos=0
t=+5.210s status=created dl=0% cv=0% qpos=0
t=+6.227s status=created dl=0% cv=0% qpos=0
t=+7.243s status=created dl=0% cv=0% qpos=0
t=+8.260s status=created dl=0% cv=0% qpos=0
t=+9.279s status=created dl=0% cv=0% qpos=0
t=+10.297s status=created dl=0% cv=0% qpos=0
t=+11.315s status=created dl=0% cv=0% qpos=0
t=+12.332s status=created dl=0% cv=0% qpos=0
t=+13.350s status=created dl=0% cv=0% qpos=0
t=+14.368s status=created dl=0% cv=0% qpos=0
t=+15.385s status=created dl=0% cv=0% qpos=0
t=+16.403s status=created dl=0% cv=0% qpos=0
t=+17.420s status=created dl=0% cv=0% qpos=0
t=+18.437s status=created dl=0% cv=0% qpos=0
t=+19.453s status=created dl=0% cv=0% qpos=0
t=+20.470s status=created dl=0% cv=0% qpos=0
t=+21.485s status=created dl=0% cv=0% qpos=0
t=+22.501s status=created dl=0% cv=0% qpos=0
t=+23.516s status=created dl=0% cv=0% qpos=0
t=+24.533s status=created dl=0% cv=0% qpos=0
t=+25.550s status=created dl=0% cv=0% qpos=0
t=+26.566s status=created dl=0% cv=0% qpos=0
t=+27.584s status=created dl=0% cv=0% qpos=0
t=+28.604s status=created dl=0% cv=0% qpos=0
t=+29.623s status=created dl=0% cv=0% qpos=0
t=+30.641s status=created dl=0% cv=0% qpos=0
t=+31.660s status=created dl=0% cv=0% qpos=0
t=+32.677s status=created dl=0% cv=0% qpos=0
t=+33.692s status=created dl=0% cv=0% qpos=0
t=+34.710s status=created dl=0% cv=0% qpos=0
t=+35.728s status=created dl=0% cv=0% qpos=0
t=+36.748s status=created dl=0% cv=0% qpos=0
t=+37.766s status=created dl=0% cv=0% qpos=0
t=+38.786s status=created dl=0% cv=0% qpos=0
t=+39.804s status=created dl=0% cv=0% qpos=0
t=+40.824s status=created dl=0% cv=0% qpos=0
t=+41.841s status=created dl=0% cv=0% qpos=0
t=+42.858s status=created dl=0% cv=0% qpos=0
t=+43.876s status=created dl=0% cv=0% qpos=0
t=+44.895s status=created dl=0% cv=0% qpos=0
t=+45.915s status=created dl=0% cv=0% qpos=0
t=+46.934s status=created dl=0% cv=0% qpos=0
t=+47.953s status=created dl=0% cv=0% qpos=0
t=+48.970s status=created dl=0% cv=0% qpos=0
t=+49.987s status=created dl=0% cv=0% qpos=0
t=+51.007s status=created dl=0% cv=0% qpos=0
t=+52.026s status=created dl=0% cv=0% qpos=0
t=+53.044s status=created dl=0% cv=0% qpos=0
t=+54.062s status=created dl=0% cv=0% qpos=0
t=+55.079s status=created dl=0% cv=0% qpos=0
t=+56.096s status=created dl=0% cv=0% qpos=0
t=+57.116s status=created dl=0% cv=0% qpos=0
t=+58.135s status=created dl=0% cv=0% qpos=0
t=+59.155s status=created dl=0% cv=0% qpos=0
t=+60.174s status=created dl=0% cv=0% qpos=0
t=+61.193s status=created dl=0% cv=0% qpos=0
t=+62.211s status=created dl=0% cv=0% qpos=0
t=+63.230s status=created dl=0% cv=0% qpos=0
t=+64.248s status=created dl=0% cv=0% qpos=0
t=+65.266s status=created dl=0% cv=0% qpos=0
t=+66.283s status=created dl=0% cv=0% qpos=0
t=+67.300s status=created dl=0% cv=0% qpos=0
t=+68.318s status=created dl=0% cv=0% qpos=0
t=+69.338s status=created dl=0% cv=0% qpos=0
t=+70.356s status=created dl=0% cv=0% qpos=0
t=+71.373s status=created dl=0% cv=0% qpos=0
t=+72.390s status=created dl=0% cv=0% qpos=0
t=+73.409s status=created dl=0% cv=0% qpos=0
t=+74.427s status=created dl=0% cv=0% qpos=0
t=+75.445s status=created dl=0% cv=0% qpos=0
t=+76.463s status=created dl=0% cv=0% qpos=0
t=+77.481s status=created dl=0% cv=0% qpos=0
t=+78.500s status=created dl=0% cv=0% qpos=0
t=+79.519s status=created dl=0% cv=0% qpos=0
t=+80.539s status=created dl=0% cv=0% qpos=0
t=+81.558s status=created dl=0% cv=0% qpos=0
t=+82.574s status=created dl=0% cv=0% qpos=0
t=+83.592s status=created dl=0% cv=0% qpos=0
t=+84.611s status=created dl=0% cv=0% qpos=0
t=+85.628s status=created dl=0% cv=0% qpos=0
t=+86.647s status=created dl=0% cv=0% qpos=0
t=+87.667s status=created dl=0% cv=0% qpos=0
t=+88.684s status=created dl=0% cv=0% qpos=0
t=+89.703s status=created dl=0% cv=0% qpos=0
t=+90.720s status=created dl=0% cv=0% qpos=0
t=+91.739s status=created dl=0% cv=0% qpos=0
t=+92.757s status=created dl=0% cv=0% qpos=0
t=+93.774s status=created dl=0% cv=0% qpos=0
t=+94.792s status=created dl=0% cv=0% qpos=0
t=+95.810s status=created dl=0% cv=0% qpos=0
t=+96.828s status=created dl=0% cv=0% qpos=0
t=+97.847s status=created dl=0% cv=0% qpos=0
t=+98.864s status=created dl=0% cv=0% qpos=0
t=+99.880s status=created dl=0% cv=0% qpos=0
t=+100.897s status=created dl=0% cv=0% qpos=0
t=+101.913s status=created dl=0% cv=0% qpos=0
t=+102.931s status=created dl=0% cv=0% qpos=0
t=+103.948s status=created dl=0% cv=0% qpos=0
t=+104.965s status=created dl=0% cv=0% qpos=0
t=+105.982s status=created dl=0% cv=0% qpos=0
t=+107.000s status=created dl=0% cv=0% qpos=0
t=+108.019s status=created dl=0% cv=0% qpos=0
t=+109.037s status=created dl=0% cv=0% qpos=0
t=+110.054s status=created dl=0% cv=0% qpos=0
t=+111.073s status=created dl=0% cv=0% qpos=0
t=+112.090s status=created dl=0% cv=0% qpos=0
t=+113.110s status=created dl=0% cv=0% qpos=0
